TermeGen;ID_TG;TermeSpe;ID_TS;TA;ID_TA;Note;EP
.../...;;AÉRONAUTIQUE;1;;;;
.../...;;AÉROSTATION;2;;;;
AÉROSTATION;2;AÉRONAUTE;1331;;;;
AÉRONAUTE;1331;ALBAN;2248; COMTE D'ARTOIS;7894;;
AÉRONAUTE;1331;ANDREANI Paolo;2636;;;;
AÉRONAUTE;1331;ANDREOLI Pascal;2639;;;;
AÉRONAUTE;1331;ARBAN Fransesco;2893;;;;
AÉRONAUTE;1331;ARLANDES d';2968;;;;
AÉRONAUTE;1331;BALSAN Jacques;33213;;;Capitaine pendant le Première Guerre Mondiale;
AÉRONAUTE;1331;BIOT Jean-Baptiste;5229; GAY-LUSSAC Louis-Joseph;12642;;
AÉRONAUTE;1331;BLANCHARD Jean-Pierre;5292; BLANCHARD Madeleine;5293;;
AÉRONAUTE;1331;BLANCHARD Madeleine;5293;;;;BLANCHARD Sophie
AÉRONAUTE;1331;BLANCHET Georges;30758;;;;
AÉRONAUTE;1331;BOCKHOLT Ludwig;34609;;;;
AÉRONAUTE;1331;BOULADE Antoine;5515;;;;BOULADE Antonin
AÉRONAUTE;1331;CAPAZZA;6916;;;;
AÉRONAUTE;1331;CHARLES et ROBERT;7387; CHARLES Jacques;7388;;
AÉRONAUTE;1331;CHARLES Jacques;7388; ROBERT Anne-Jean| ROBERT Noël-Marie;23905| 23906;;
AÉRONAUTE;1331;COCKING Robert;35868;;;;
AÉRONAUTE;1331;CONTE Nicolas-Jacques;7939;;;;
AÉRONAUTE;1331;CORMIER Georges;8002;;;;
AÉRONAUTE;1331;COUTELLE Jean-Marie;8054;;;;
AÉRONAUTE;1331;CROCÉ-SPINELLI Joseph;34072;;;;CROCÉ Joseph
AÉRONAUTE;1331;DEMUYTER Ernest;9097;;;;
AÉRONAUTE;1331;DOLLFUS Charles;34922;;;;
AÉRONAUTE;1331;DONALDSON;9472;;;;
AÉRONAUTE;1331;DU PLESSIS de GRENEDAN Jean;33042;;;;
AÉRONAUTE;1331;DU PLESSIS Jean;9596;;;;
AÉRONAUTE;1331;DUPUIS-DELCOURT;9631;;;;
AÉRONAUTE;1331;DUPUY de LOME;9632;;;;
AÉRONAUTE;1331;FLAMMARION Camille;11963;;;;
AÉRONAUTE;1331;FONVIELLE Wilfried de;12092;;;;
AÉRONAUTE;1331;FOSSETT Stephen J.;12125;;;;FOSSETT Steve J.
AÉRONAUTE;1331;GARNERIN André-Jacques;12615;;;;
AÉRONAUTE;1331;GARNERIN Elisa;12616;;;;
AÉRONAUTE;1331;GARNERIN Jeanne;36441;;;;LABROSSE Jeanne| LABROSSE-GARNERIN Jeanne
AÉRONAUTE;1331;GAY-LUSSAC Louis-Joseph;12642;;;;
AÉRONAUTE;1331;GIROUD de VILLETTE André;12895;;;;
AÉRONAUTE;1331;GLAISHER James;12928;;;;
AÉRONAUTE;1331;GLORIEUX Jean-Baptiste;35851;;;;
AÉRONAUTE;1331;GODARD Eugene;12999;;;;
AÉRONAUTE;1331;GODARD Louis;13000;;;;
AÉRONAUTE;1331;GRADNIER;13101;;;;
AÉRONAUTE;1331;GRAFFIGNY Henri de;13104;;;;
AÉRONAUTE;1331;GREEN Charles;35846;;;;
AÉRONAUTE;1331;GUSMÃO Barthélémi-Laurent de;13303;;;;
AÉRONAUTE;1331;HIRSCHAUER Auguste;36220;;;;
AÉRONAUTE;1331;JEFFRIES;15317;;;;
AÉRONAUTE;1331;JEFFRIES John;15318;;;;
AÉRONAUTE;1331;JONES Brian;35695;;;;
AÉRONAUTE;1331;JUCHMES Georges;35853;;;;
AÉRONAUTE;1331;LA VAULX Henry de;16478;;;;
AÉRONAUTE;1331;LETOURNEUR (Capitaine);35854;;;;
AÉRONAUTE;1331;LUNARDI;17414;;;;
AÉRONAUTE;1331;MALLET Maurice;36174;;;;
AÉRONAUTE;1331;MANGIN Maurice;34629;;;;
AÉRONAUTE;1331;MONTGOLFIER de;19827;;;;
MONTGOLFIER de;19827;MONTGOLFIER Frères;19828;;;;
AÉRONAUTE;1331;NADAR;20487;;;;
AÉRONAUTE;1331;NICOLAS Pierre-François;20840;;;;
AÉRONAUTE;1331;PICCARD Auguste;22441; PICCARD Bertrand| PICCARD Don;22442| 22443;;
AÉRONAUTE;1331;PICCARD Bertrand;22442; PICCARD-EPFL;22444;;
AÉRONAUTE;1331;PICCARD Don;22443;;;;
AÉRONAUTE;1331;PILATRE DE ROZIER;22463;;;;
AÉRONAUTE;1331;POITEVIN;22660;;;;
AÉRONAUTE;1331;POTAIN;22716;;;;
AÉRONAUTE;1331;RENARD Charles;23682; RENARD et KREBS;16463;;
AÉRONAUTE;1331;RIEDINGER August;23822;;;;
AÉRONAUTE;1331;ROBERT Anne-Jean;23905;;;;
AÉRONAUTE;1331;ROBERT Noël-Marie;23906; ROBERT Anne-Jean;23905;;
AÉRONAUTE;1331;ROBERTSON;23909;;;;
AÉRONAUTE;1331;ROMAIN Pierre-Ange;23954;;;;
