wikidata_id,label,uri
Q62447,aerodrome,http://www.wikidata.org/entity/Q62447
Q1248784,airport,http://www.wikidata.org/entity/Q1248784
Q2697755,Aeromonas hydrophila,http://www.wikidata.org/entity/Q2697755
Q104541,aerosol,http://www.wikidata.org/entity/Q104541
Q21104,Ærø Municipality,http://www.wikidata.org/entity/Q21104
Q11436,aircraft,http://www.wikidata.org/entity/Q11436
Q2876213,aerospace,http://www.wikidata.org/entity/Q2876213
Q21102944,Aeromonas hydrophila subsp. hydrophila ATCC 7966,http://www.wikidata.org/entity/Q21102944
Q26905,Aero,http://www.wikidata.org/entity/Q26905
Q126826,Aerosmith,http://www.wikidata.org/entity/Q126826
Q27150,Ærø,http://www.wikidata.org/entity/Q27150
Q201821,Finnair,http://www.wikidata.org/entity/Q201821
Q8421,aeronautics,http://www.wikidata.org/entity/Q8421
Q8424,aerodynamics,http://www.wikidata.org/entity/Q8424
Q4688338,Aeromonas salmonicida,http://www.wikidata.org/entity/Q4688338
Q60186,meteorite,http://www.wikidata.org/entity/Q60186
Q381202,AERO Vodochody Aerospace,http://www.wikidata.org/entity/Q381202
Q381526,aeromagnetics,http://www.wikidata.org/entity/Q381526
Q15750523,Aerospace and Environmental Medicine,http://www.wikidata.org/entity/Q15750523
Q4688339,Aeromonas veronii,http://www.wikidata.org/entity/Q4688339
Q58707,Aeroflot,http://www.wikidata.org/entity/Q58707
Q431621,AERO,http://www.wikidata.org/entity/Q431621
Q115944464,Aerobacter aerogenes,http://www.wikidata.org/entity/Q115944464
Q3545795,Aero,http://www.wikidata.org/entity/Q3545795
Q644371,international airport,http://www.wikidata.org/entity/Q644371
Q15766232,Aerosol Science and Technology,http://www.wikidata.org/entity/Q15766232
Q16825697,Aeromonas caviae,http://www.wikidata.org/entity/Q16825697
Q1541065,Aeronautical Information Publication,http://www.wikidata.org/entity/Q1541065
Q167277,Aero L-29 Delfin,http://www.wikidata.org/entity/Q167277
Q216916,military aircraft,http://www.wikidata.org/entity/Q216916
Q212919,palynology,http://www.wikidata.org/entity/Q212919
Q137647,Aeromonas,http://www.wikidata.org/entity/Q137647
Q800424,Aéroport Charles de Gaulle 2 TGV,http://www.wikidata.org/entity/Q800424
Q3798668,aerospace engineering,http://www.wikidata.org/entity/Q3798668
Q1992708,Aerodrom Municipality,http://www.wikidata.org/entity/Q1992708
Q2071567,flying club,http://www.wikidata.org/entity/Q2071567
Q62823,Barranquilla,http://www.wikidata.org/entity/Q62823
Q381576,Italian Air Force,http://www.wikidata.org/entity/Q381576
Q170377,Blackpool,http://www.wikidata.org/entity/Q170377
Q23928723,Aerospace Medicine and Human Performance,http://www.wikidata.org/entity/Q23928723
Q27412,Aerodramus,http://www.wikidata.org/entity/Q27412
Q728425,balloonist,http://www.wikidata.org/entity/Q728425
Q15781815,Aerosoft,http://www.wikidata.org/entity/Q15781815
Q381392,aerobiology,http://www.wikidata.org/entity/Q381392
Q743004,aircraft engine,http://www.wikidata.org/entity/Q743004
Q21178980,Aero,http://www.wikidata.org/entity/Q21178980
Q65262772,Aero,http://www.wikidata.org/entity/Q65262772
Q17286352,Aerobryopsis,http://www.wikidata.org/entity/Q17286352
Q39042,Cheyenne,http://www.wikidata.org/entity/Q39042
Q191839,aerial photography,http://www.wikidata.org/entity/Q191839
Q197,airplane,http://www.wikidata.org/entity/Q197
Q2189118,Aerobiologia,http://www.wikidata.org/entity/Q2189118
Q172145,fluid mechanics,http://www.wikidata.org/entity/Q172145
Q110017,Caxias do Sul,http://www.wikidata.org/entity/Q110017
Q213814,Binghamton,http://www.wikidata.org/entity/Q213814
Q181479,Ben Gurion Airport,http://www.wikidata.org/entity/Q181479
Q31801,Edible-nest Swiftlet,http://www.wikidata.org/entity/Q31801
Q94993988,commercial traffic aerodrome,http://www.wikidata.org/entity/Q94993988
Q919300,AeroVironment,http://www.wikidata.org/entity/Q919300
Q650639,Aérospatiale,http://www.wikidata.org/entity/Q650639
Q19609,noble gases,http://www.wikidata.org/entity/Q19609
Q659216,aerophone,http://www.wikidata.org/entity/Q659216
Q1273359,Uniform Swiftlet,http://www.wikidata.org/entity/Q1273359
Q10401866,Aeropedellus,http://www.wikidata.org/entity/Q10401866
Q46,Europe,http://www.wikidata.org/entity/Q46
Q2605805,Aeropuerto T4,http://www.wikidata.org/entity/Q2605805
Q215641,aerobics,http://www.wikidata.org/entity/Q215641
Q12271231,Aerodrom,http://www.wikidata.org/entity/Q12271231
Q2918745,Aeromachini,http://www.wikidata.org/entity/Q2918745
Q46033,Frankfurt Airport,http://www.wikidata.org/entity/Q46033
Q1358448,Aeromachus,http://www.wikidata.org/entity/Q1358448
Q860559,Aeropuerto Internacional Benito Juárez,http://www.wikidata.org/entity/Q860559
Q9694,Amsterdam Airport Schiphol,http://www.wikidata.org/entity/Q9694
Q4688333,Aeromonadaceae,http://www.wikidata.org/entity/Q4688333
Q381640,aeroponics,http://www.wikidata.org/entity/Q381640
Q936518,aerospace manufacturer,http://www.wikidata.org/entity/Q936518
Q794563,Groupe ADP,http://www.wikidata.org/entity/Q794563
Q2367414,Aeroport District,http://www.wikidata.org/entity/Q2367414
Q26467,White-rumped Swiftlet,http://www.wikidata.org/entity/Q26467
Q3041792,reconnaissance aircraft,http://www.wikidata.org/entity/Q3041792
Q208187,attack aircraft,http://www.wikidata.org/entity/Q208187
Q23022042,Aero Cycling Team,http://www.wikidata.org/entity/Q23022042
Q489420,Anderson County,http://www.wikidata.org/entity/Q489420
Q488672,Butler County,http://www.wikidata.org/entity/Q488672
Q155899,Aero L-39 Albatros,http://www.wikidata.org/entity/Q155899
Q12884440,Athens International Airport station,http://www.wikidata.org/entity/Q12884440
Q8691,London Heathrow Airport,http://www.wikidata.org/entity/Q8691
Q15750591,Aerosol and Air Quality Research,http://www.wikidata.org/entity/Q15750591
Q29863,Stockholm Bromma Airport,http://www.wikidata.org/entity/Q29863
Q272129,Ærøskøbing,http://www.wikidata.org/entity/Q272129
Q2478857,Aéro-Club de France,http://www.wikidata.org/entity/Q2478857
Q21139,Angraecum,http://www.wikidata.org/entity/Q21139
Q113665902,Aeroporto water terminal,http://www.wikidata.org/entity/Q113665902
Q2629633,Aero the Acro-Bat 2,http://www.wikidata.org/entity/Q2629633
Q1299477,aerostat,http://www.wikidata.org/entity/Q1299477
Q381286,Aero Contractors,http://www.wikidata.org/entity/Q381286
Q26208632,Aeromicrobium,http://www.wikidata.org/entity/Q26208632
Q1259817,Himalayan Swiftlet,http://www.wikidata.org/entity/Q1259817
Q289972,Geneva International Airport,http://www.wikidata.org/entity/Q289972
Q794586,Aérospatiale SA 330 Puma,http://www.wikidata.org/entity/Q794586
Q3783645,aerobic respiration,http://www.wikidata.org/entity/Q3783645
Q223499,Stockholm Arlanda Airport,http://www.wikidata.org/entity/Q223499
Q17286348,Aerobryidium,http://www.wikidata.org/entity/Q17286348
Q1142219,Jorge Chávez International Airport,http://www.wikidata.org/entity/Q1142219
Q2301048,German special airfield,http://www.wikidata.org/entity/Q2301048
Q210403,model aircraft building,http://www.wikidata.org/entity/Q210403
Q421748,dichloromethane,http://www.wikidata.org/entity/Q421748
Q50374557,Aeromonas hydrophila subsp. hydrophila ATCC 7966 chromosome,http://www.wikidata.org/entity/Q50374557
Q8685,John F. Kennedy International Airport,http://www.wikidata.org/entity/Q8685
Q131402,Munich Airport,http://www.wikidata.org/entity/Q131402
Q486293,Alpena County,http://www.wikidata.org/entity/Q486293
Q4688224,Aerococcus,http://www.wikidata.org/entity/Q4688224
Q1997511,Nord 262,http://www.wikidata.org/entity/Q1997511
Q17286362,Aerobryum,http://www.wikidata.org/entity/Q17286362
Q2875704,fixed-wing aircraft,http://www.wikidata.org/entity/Q2875704
Q2825617,Aerococcaceae,http://www.wikidata.org/entity/Q2825617
Q58226,Düsseldorf Airport,http://www.wikidata.org/entity/Q58226
Q381563,Aeroméxico,http://www.wikidata.org/entity/Q381563
Q328518,Armenia,http://www.wikidata.org/entity/Q328518
Q127951,Sofia Airport,http://www.wikidata.org/entity/Q127951
Q1127417,flying phobia,http://www.wikidata.org/entity/Q1127417
Q181251,Aérospatiale Alouette III,http://www.wikidata.org/entity/Q181251
Q1132616,Rome Ciampino,http://www.wikidata.org/entity/Q1132616
Q46280,Paris-Charles de Gaulle Airport,http://www.wikidata.org/entity/Q46280
