wikidata_id,label,uri
Q1541065,Aeronautical Information Publication,http://www.wikidata.org/entity/Q1541065
Q381576,Italian Air Force,http://www.wikidata.org/entity/Q381576
Q8421,aeronautics,http://www.wikidata.org/entity/Q8421
Q2031924,Aeronca,http://www.wikidata.org/entity/Q2031924
Q165862,Royal Air Force,http://www.wikidata.org/entity/Q165862
Q212268,Antonov,http://www.wikidata.org/entity/Q212268
Q183951,balloon,http://www.wikidata.org/entity/Q183951
Q2743506,Aeronáutica Industrial S.A.,http://www.wikidata.org/entity/Q2743506
Q3664755,Centro Sportivo Aeronautica Militare,http://www.wikidata.org/entity/Q3664755
Q4828699,aeronautical engineering,http://www.wikidata.org/entity/Q4828699
Q61883,air force,http://www.wikidata.org/entity/Q61883
Q1317163,Aeronautics Institute of Technology,http://www.wikidata.org/entity/Q1317163
Q97997674,University of Washington William E. Boeing Department of Aeronautics and Astronautics,http://www.wikidata.org/entity/Q97997674
Q3085781,Aeronautics Defense Systems,http://www.wikidata.org/entity/Q3085781
Q921432,Soviet Air Forces,http://www.wikidata.org/entity/Q921432
Q4577956,Aermacchi,http://www.wikidata.org/entity/Q4577956
Q259471,Aeronautics,http://www.wikidata.org/entity/Q259471
Q106804812,Aeronautical Chart and Information Center,http://www.wikidata.org/entity/Q106804812
Q381573,National Republican Air Force,http://www.wikidata.org/entity/Q381573
Q3606002,"Aeronautical Division, U.S. Signal Corps",http://www.wikidata.org/entity/Q3606002
Q330658,Indian Air Force,http://www.wikidata.org/entity/Q330658
Q5658934,Aeronáutica Naval,http://www.wikidata.org/entity/Q5658934
Q823635,Royal Australian Air Force,http://www.wikidata.org/entity/Q823635
Q209833,Russian Air Force,http://www.wikidata.org/entity/Q209833
Q1434024,aeronautical meteorology,http://www.wikidata.org/entity/Q1434024
Q1517242,Royal Italian Air Force,http://www.wikidata.org/entity/Q1517242
Q96736786,Aeronautical and Space Sciences Japan,http://www.wikidata.org/entity/Q96736786
Q462211,Israeli Air Force,http://www.wikidata.org/entity/Q462211
Q1875628,aeronautical chart,http://www.wikidata.org/entity/Q1875628
Q2825652,Aeronautica Umbra,http://www.wikidata.org/entity/Q2825652
Q2384046,Aeronautics Defense Orbiter,http://www.wikidata.org/entity/Q2384046
Q4499858,Colombian Civil Aviation Authority,http://www.wikidata.org/entity/Q4499858
Q381577,Aeronautica Umbra Trojani AUT.18,http://www.wikidata.org/entity/Q381577
Q820827,French Air Force,http://www.wikidata.org/entity/Q820827
Q96697983,Aeronautical journal (London England 1897),http://www.wikidata.org/entity/Q96697983
Q16143981,Aeronáutica Militar Española,http://www.wikidata.org/entity/Q16143981
Q96697986,Aeronautics and Aerospace Open Access Journal,http://www.wikidata.org/entity/Q96697986
Q16162585,Aeronautica Sicula,http://www.wikidata.org/entity/Q16162585
Q17423303,airborne radar,http://www.wikidata.org/entity/Q17423303
Q381570,Italian Co-Belligerent Air Force,http://www.wikidata.org/entity/Q381570
Q830305,Japan Air Self-Defense Force,http://www.wikidata.org/entity/Q830305
Q4688384,Aeronáutica,http://www.wikidata.org/entity/Q4688384
Q847492,Finnish Air Force,http://www.wikidata.org/entity/Q847492
Q1137453,Royal Norwegian Air Force,http://www.wikidata.org/entity/Q1137453
Q4688013,aerial lighthouse,http://www.wikidata.org/entity/Q4688013
Q833218,Spanish Air and Space Force,http://www.wikidata.org/entity/Q833218
Q918504,Polish Air Force,http://www.wikidata.org/entity/Q918504
Q1519024,South African Air Force,http://www.wikidata.org/entity/Q1519024
Q675351,Aeronautical Information Service,http://www.wikidata.org/entity/Q675351
Q1898464,naval aviation,http://www.wikidata.org/entity/Q1898464
Q2539582,Museum of Aviation,http://www.wikidata.org/entity/Q2539582
